"Strategy :boll75"
"1min","TotalTotal","TotalAbove","TotalBelow","TotalAt","MondayTotal","MondayAbove","MondayBelow","MondayAt","TuesdayTotal","TuesdayAbove","TuesdayBelow","TuesdayAt","WednesdayTotal","WednesdayAbove","WednesdayBelow","WednesdayAt","ThursdayTotal","ThursdayAbove","ThursdayBelow","ThursdayAt","FridayTotal","FridayAbove","FridayBelow","FridayAt"
"Total","22158","9616","11548","994","4454","1909","2357","188","4098","1735","2196","167","4507","2034","2317","156","4288","1903","2208","177","3761","1601","2002","158"
"0","1107","503","517","87","173","88","79","6","169","66","89","14","242","116","112","14","235","113","111","11","260","120","126","14"
"1","887","409","440","38","169","83","76","10","155","65","83","7","234","103","119","12","157","75","78","4","172","83","84","5"
"2","654","294","316","44","125","54","60","11","142","65","67","10","148","66","71","11","134","66","61","7","105","43","57","5"
"3","856","363","445","48","166","66","99","1","88","29","48","11","155","62","88","5","230","107","109","14","217","99","101","17"
"4","927","396","471","60","171","73","85","13","141","61","72","8","233","108","115","10","165","68","91","6","217","86","108","23"
"5","1148","500","590","58","256","109","134","13","244","109","124","11","258","116","137","5","203","93","98","12","187","73","97","17"
"6","1436","612","778","46","385","161","209","15","206","81","118","7","309","140","159","10","248","104","141","3","288","126","151","11"
"7","1206","515","665","26","246","117","124","5","247","99","143","5","209","86","119","4","319","137","175","7","185","76","104","5"
"8","839","368","455","16","175","75","97","3","139","63","72","4","142","56","82","4","206","98","106","2","177","76","98","3"
"9","764","347","399","18","153","75","75","3","169","77","88","4","119","44","74","1","142","69","72","1","181","82","90","9"
"10","793","326","453","14","105","35","67","3","172","70","100","2","122","59","63","0","231","96","132","3","163","66","91","6"
"11","876","378","479","19","205","100","99","6","207","77","128","2","141","60","78","3","161","72","83","6","162","69","91","2"
"12","1203","524","662","17","283","119","157","7","241","112","126","3","291","137","151","3","161","64","93","4","227","92","135","0"
"13","1097","508","576","13","283","118","159","6","286","135","147","4","241","123","118","0","115","51","63","1","172","81","89","2"
"14","900","389","500","11","256","110","143","3","227","93","132","2","105","43","59","3","139","64","73","2","173","79","93","1"
"15","747","305","428","14","205","78","120","7","100","38","62","0","150","66","81","3","127","56","70","1","165","67","95","3"
"16","778","335","426","17","165","74","84","7","188","86","102","0","160","74","84","2","160","64","90","6","105","37","66","2"
"17","790","333","435","22","115","39","72","4","151","59","91","1","218","106","106","6","166","74","84","8","140","55","82","3"
"18","655","312","323","20","82","39","41","2","123","59","60","4","169","84","82","3","137","66","65","6","144","64","75","5"
"19","825","383","408","34","160","75","77","8","136","60","70","6","228","109","112","7","172","81","83","8","129","58","66","5"
"20","785","326","412","47","126","51","70","5","99","41","52","6","181","76","101","4","197","89","92","16","182","69","97","16"
"21","827","319","402","106","67","18","45","4","142","57","73","12","97","49","44","4","111","39","64","8","10","0","6","4"
"22","1066","459","504","103","153","60","79","14","137","55","59","23","170","71","80","19","200","91","88","21","0","0","0","0"
"23","992","412","464","116","230","92","106","32","189","78","90","21","185","80","82","23","172","66","86","20","0","0","0","0"
"Sydney Tokyo","6571","2877","3243","451","1290","565","639","86","1128","473","573","82","1455","651","724","80","1296","588","634","74","1158","504","573","81"
"Tokyo","1436","612","778","46","385","161","209","15","206","81","118","7","309","140","159","10","248","104","141","3","288","126","151","11"
"London Tokyo","1206","515","665","26","246","117","124","5","247","99","143","5","209","86","119","4","319","137","175","7","185","76","104","5"
"London ","3272","1419","1786","67","638","285","338","15","687","287","388","12","524","219","297","8","740","335","393","12","683","293","370","20"
"London New York","3947","1726","2166","55","1027","425","579","23","854","378","467","9","787","369","409","9","542","235","299","8","737","319","412","6"
"New York","3833","1689","2004","140","648","278","344","26","697","305","375","17","956","449","485","22","832","374","414","44","700","283","386","31"
"Sydney","1893","778","906","209","220","78","124","18","279","112","132","35","267","120","124","23","311","130","152","29","10","0","6","4"
